id_jogo_cbf,source,quantity,price,amount
14212b_2025,LESTE SUPERIOR SÓCIO ALVINEGRO OFF,83,40.0,3320.0
14212b_2025,LESTE SUPERIOR SÓCIO GLORIOSO 100%,358,40.0,14320.0
14212b_2025,LESTE SUPERIOR SÓCIO ALVINEGRO 100%,999,40.0,39960.0
14212b_2025,SUL VISITANTE INTEIRA,16,80.0,1280.0
14212b_2025,SUL VISITAΝΤΕ ΜΕΙΑ,10,40.0,400.0
14212b_2025,INGRESSO PROMOCIONAL,362,30.0,10860.0
14212b_2025,CAMAROTE PROMOCIONAL,987,30.0,29610.0
14213b_2025,CAMAROTES - Carnê de Relacionamento,1086,20.0,21720.0
14213b_2025,CAMAROTES - Carnê - Venda Proibida,966,20.0,19320.0
14213b_2025,LESTE INFERIOR CENTRAL - Inteira,2,180.0,360.0
14213b_2025,LESTE INFERIOR CENTRAL - Meia,10,90.0,900.0
14213b_2025,LESTE INFERIOR CENTRAL - Fiel Torcedor,3605,128.0,461440.0
14213b_2025,LESTE INFERIOR CENTRAL - Fiel Torcedor,1172,110.0,128920.0
14213b_2025,LESTE INFERIOR CENTRAL- Carnê - Venda Proibida,102,20.0,2040.0
14213b_2025,LESTE INFERIOR LATERAL - Meia,23,65.0,1495.0
14213b_2025,LESTE INFERIOR LATERAL - Fiel Torcedor,3525,88.0,310200.0
14213b_2025,LESTE INFERIOR LATERAL - Fiel Torcedor,412,75.0,30900.0
14213b_2025,LESTE INFERIOR LATERAL - Carnê - Venda Proibida,235,20.0,4700.0
14213b_2025,LESTE SUPERIOR CENTRAL - Inteira,4,110.0,440.0
14213b_2025,LESTE SUPERIOR CENTRAL - Fiel Torcedor,3328,78.0,259584.0
14213b_2025,LESTE SUPERIOR CENTRAL - Fiel Torcedor,501,68.0,34068.0
14213b_2025,LESTE SUPERIOR CENTRAL- Carnê - Venda Proibida,10,20.0,200.0
14213b_2025,LESTE SUPERIOR LATERAL - Meia,3,55.0,165.0
14213b_2025,LESTE SUPERIOR LATERAL - Fiel Torcedor,2600,78.0,202800.0
14213b_2025,LESTE SUPERIOR LATERAL - Fiel Torcedor,200,68.0,13600.0
14213b_2025,LESTE SUPERIOR LATERAL - Carnê - Venda Proibida,18,20.0,360.0
14213b_2025,NORTE - Meia,47,37.5,1762.5
14213b_2025,NORTE - Fiel Torcedor,8529,35.0,298515.0
14213b_2025,NORTE - Carnê - Venda Proibida,470,20.0,9400.0
14213b_2025,OESTE BUSINESS - Carnê de Relacionamento,508,20.0,10160.0
14213b_2025,OESTE BUSINESS - Carnê - Venda Proibida,100,20.0,2000.0
14213b_2025,OESTE INFERIOR CENTRAL - Inteira,9,300.0,2700.0
14213b_2025,OESTE INFERIOR CENTRAL - Carnê de Relacionamento,1111,20.0,22220.0
14213b_2025,OESTE INFERIOR CORNER - Inteira,107,260.0,27820.0
14213b_2025,OESTE INFERIOR CORNER - Meia,86,130.0,11180.0
14213b_2025,OESTE INFERIOR CORNER - Carnê de Relacionamento,489,20.0,9780.0
14213b_2025,OESTE INFERIOR CORNER - Fiel Torcedor,14,182.0,2548.0
14213b_2025,OESTE INFERIOR CORNER - Fiel Torcedor,130,158.0,20540.0
14213b_2025,OESTE INFERIOR CORNER - Fiel Torcedor,15,188.0,2820.0
14213b_2025,OESTE INFERIOR CORNER - Carnê - Venda Proibida,910,20.0,18200.0
14213b_2025,OESTE INFERIOR LATERAL - Inteira,97,280.0,27160.0
14213b_2025,OESTE INFERIOR LATERAL - Meia,114,140.0,15960.0
14213b_2025,OESTE INFERIOR LATERAL - Carnê de Relacionamento,1170,20.0,23400.0
14213b_2025,OESTE INFERIOR LATERAL - Fiel Torcedor,218,196.0,42728.0
14213b_2025,OESTE INFERIOR LATERAL - Fiel Torcedor,80,224.0,17920.0
14213b_2025,OESTE INFERIOR LATERAL - Fiel Torcedor,777,170.0,132090.0
14213b_2025,OESTE INFERIOR LATERAL - Fiel Torcedor,87,208.0,18096.0
14213b_2025,OESTE INFERIOR LATERAL - Carnê - Venda Proibida,588,20.0,11760.0
14213b_2025,OESTE SUPERIOR - Inteira,14,198.0,2772.0
14213b_2025,OESTE SUPERIOR - Meia,55,99.0,5445.0
14213b_2025,OESTE SUPERIOR - Carnê de Relacionamento,195,20.0,3900.0
14213b_2025,OESTE SUPERIOR - Fiel Torcedor,68,138.6,9424.8
14213b_2025,OESTE SUPERIOR - Fiel Torcedor,86,158.4,13622.4
14213b_2025,OESTE SUPERIOR - Fiel Torcedor,2189,138.0,302082.0
14213b_2025,OESTE SUPERIOR - Fiel Torcedor,479,118.0,56522.0
14213b_2025,OESTE SUPERIOR - Fiel Torcedor,26,145.0,3770.0
14213b_2025,OESTE SUPERIOR - Carnê - Venda Proibida,586,20.0,11720.0
14213b_2025,SUL - Meia,9,60.0,540.0
14213b_2025,SUL - Visitante - Inteira,1378,120.0,165360.0
14213b_2025,SUL - Visitante - Meia,196,60.0,11760.0
14213b_2025,SUL - Fiel Torcedor,3822,35.0,133770.0
14213b_2025,SUL- Carnê - Venda Proibida,208,20.0,4160.0
14213b_2025,SUL- Carnê - Venda Proibida,200,60.0,12000.0
14214b_2025,ARQUIBANCADA COSMO DAMIÃO - Inteira,14,300.0,4200.0
14214b_2025,ARQUIBANCADA COSMO DAMIÃO - Meia,110,150.0,16500.0
14214b_2025,ARQUIBANCADA COSMO DAMIÃO - Carnê de Relacionamento,559,20.0,11180.0
14214b_2025,ARQUIBANCADA COSMO DAMIÃO - Sócio Gold,911,37.5,34162.5
14214b_2025,ARQUIBANCADA COSMO DAMIÃO - Sócio Silver,113,75.0,8475.0
14214b_2025,ARQUIBANCADA COSMO DAMIÃO - Sócio Black,644,20.0,12880.0
14214b_2025,ARQUIBANCADA GERAL SANTISTA - Inteira,3,300.0,900.0
14214b_2025,ARQUIBANCADA GERAL SANTISTA - Meia,36,150.0,5400.0
14214b_2025,ARQUIBANCADA GERAL SANTISTA - Sócio Gold,176,37.5,6600.0
14214b_2025,ARQUIBANCADA GERAL SANTISTA - Sócio Silver,25,75.0,1875.0
14214b_2025,ARQUIBANCADA GERAL SANTISTA - Sócio Black,111,20.0,2220.0
14214b_2025,ARQUIBANCADA JOSÉ DE ALENCAR - P 24 - Inteira,8,300.0,2400.0
14214b_2025,ARQUIBANCADA JOSÉ DE ALENCAR - P 24 - Meia,31,150.0,4650.0
14214b_2025,ARQUIBANCADA JOSÉ DE ALENCAR - P 24 - Carnê de Relacionamento,5,20.0,100.0
14214b_2025,ARQUIBANCADA JOSÉ DE ALENCAR - P 24 - Sócio Gold,465,37.5,17437.5
14214b_2025,ARQUIBANCADA JOSÉ DE ALENCAR - P 24 - Sócio Silver,45,75.0,3375.0
14214b_2025,ARQUIBANCADA JOSÉ DE ALENCAR - P 24 - Sócio Black,351,20.0,7020.0
14214b_2025,ARQUIBANCADA PRINCESA ISABEL/VISITANTE - Inteira,24,300.0,7200.0
14214b_2025,ARQUIBANCADA PRINCESA ISABEL/VISITANTE - Meia,67,150.0,10050.0
14214b_2025,ARQUIBANCADA PRINCESA ISABEL/VISITANTE - Carnê de Relacionamento,172,20.0,3440.0
14214b_2025,CADEIRA CATIVA DOM PEDRO - Meia,3,225.0,675.0
14214b_2025,CADEIRA CATIVA DOM PEDRO - Sócio Gold,6,112.5,675.0
14214b_2025,CADEIRA CATIVA DOM PEDRO - Sócio Silver,1,168.75,168.75
14214b_2025,CADEIRA CATIVA DOM PEDRO - Sócio Black,5,56.25,281.25
14214b_2025,CADEIRA CATIVA DOM PEDRO - Proprietário Black,1,20.0,20.0
14214b_2025,CADEIRA CATIVA DOM PEDRO - Proprietário Gold,4,56.25,225.0
14214b_2025,CADEIRA CATIVA DOM PEDRO - Proprietário Silver,16,112.5,1800.0
14214b_2025,CADEIRA CATIVA ESPECIAL - PRINCESA ISABEL - Inteira,6,450.0,2700.0
14214b_2025,CADEIRA CATIVA ESPECIAL - PRINCESA ISABEL - Meia,23,225.0,5175.0
14214b_2025,CADEIRA CATIVA ESPECIAL - PRINCESA ISABEL - Carnê de Relacionamento,222,20.0,4440.0
14214b_2025,CADEIRA CATIVA ESPECIAL - PRINCESA ISABEL - Sócio Gold,91,112.5,10237.5
14214b_2025,CADEIRA CATIVA ESPECIAL - PRINCESA ISABEL - Sócio Silver,18,168.75,3037.5
14214b_2025,CADEIRA CATIVA ESPECIAL - PRINCESA ISABEL - Sócio Black,81,56.25,4556.25
14214b_2025,CADEIRA CATIVA ESPECIAL - PRINCESA ISABEL - Proprietário Black,18,20.0,360.0
14214b_2025,CADEIRA CATIVA ESPECIAL - PRINCESA ISABEL - Proprietário Gold,53,56.25,2981.25
14214b_2025,CADEIRA CATIVA ESPECIAL - PRINCESA ISABEL - Proprietário Silver,125,112.5,14062.5
14214b_2025,CADEIRA COBERTA DOM PEDRO - Inteira,7,450.0,3150.0
14214b_2025,CADEIRA COBERTA DOM PEDRO - Meia,19,225.0,4275.0
14214b_2025,CADEIRA COBERTA DOM PEDRO - Sócio Gold,110,112.5,12375.0
14214b_2025,CADEIRA COBERTA DOM PEDRO - Sócio Silver,7,168.75,1181.25
14214b_2025,CADEIRA COBERTA DOM PEDRO - Sócio Black,192,56.25,10800.0
14214b_2025,CADEIRA COBERTA JOSÉ DE ALENCAR - Carnê de Relacionamento,314,20.0,6280.0
14214b_2025,CADEIRA ESPECIAL - PRINCESA ISABEL - Inteira,2,450.0,900.0
14214b_2025,CADEIRA ESPECIAL - PRINCESA ISABEL - Meia,6,225.0,1350.0
14214b_2025,CADEIRA ESPECIAL - PRINCESA ISABEL - Carnê de Relacionamento,206,20.0,4120.0
14214b_2025,CADEIRA ESPECIAL - PRINCESA ISABEL - Sócio Gold,35,112.5,3937.5
14214b_2025,CADEIRA ESPECIAL - PRINCESA ISABEL - Sócio Silver,8,168.75,1350.0
14214b_2025,CADEIRA ESPECIAL - PRINCESA ISABEL - Sócio Black,114,56.25,6412.5
14214b_2025,CADEIRA ESPECIAL - PRINCESA ISABEL - Cadeira Vitalícia,13,20.0,260.0
14214b_2025,CADEIRA LATERAL LESTE - Carnê de Relacionamento,59,20.0,1180.0
14214b_2025,CADEIRA SOCIAL DOM PEDRO - Inteira,11,400.0,4400.0
14214b_2025,CADEIRA SOCIAL DOM PEDRO - Meia,40,200.0,8000.0
14214b_2025,CADEIRA SOCIAL DOM PEDRO - Carnê de Relacionamento,71,20.0,1420.0
14214b_2025,CADEIRA SOCIAL DOM PEDRO - Sócio Gold,498,100.0,49800.0
14214b_2025,CADEIRA SOCIAL DOM PEDRO - Sócio Silver,52,150.0,7800.0
14214b_2025,CADEIRA SOCIAL DOM PEDRO - Sócio Black,476,50.0,23800.0
14214b_2025,CADEIRA SOCIAL PRINCESA ISABEL - Inteira,5,400.0,2000.0
14214b_2025,CADEIRA SOCIAL PRINCESA ISABEL - Meia,16,200.0,3200.0
14214b_2025,CADEIRA SOCIAL PRINCESA ISABEL - Carnê de Relacionamento,89,20.0,1780.0
14214b_2025,CADEIRA SOCIAL PRINCESA ISABEL - Sócio Gold,132,100.0,13200.0
14214b_2025,CADEIRA SOCIAL PRINCESA ISABEL - Sócio Silver,13,150.0,1950.0
14214b_2025,CADEIRA SOCIAL PRINCESA ISABEL - Sócio Black,210,50.0,10500.0
14214b_2025,CADEIRA TÉRREA DOM PEDRO - Inteira,39,350.0,13650.0
14214b_2025,CADEIRA TÉRREA DOM PEDRO - Meia,81,175.0,14175.0
14214b_2025,CADEIRA TÉRREA DOM PEDRO - Carnê de Relacionamento,500,20.0,10000.0
14214b_2025,CADEIRA TÉRREA DOM PEDRO - Sócio Gold,419,87.5,36662.5
14214b_2025,CADEIRA TÉRREA DOM PEDRO - Sócio Silver,53,131.25,6956.25
14214b_2025,CADEIRA TÉRREA DOM PEDRO - Sócio Black,196,43.75,8575.0
14214b_2025,CADEIRA TÉRREA DOM PEDRO - PMR - P26 - Meia,2,175.0,350.0
14214b_2025,CADEIRA TÉRREA DOM PEDRO - PMR - P26 - Sócio Gold,6,87.5,525.0
14214b_2025,CADEIRA TÉRREA DOM PEDRO - PMR - P26 - Sócio Black,6,43.75,262.5
14214b_2025,CAMAROTE DIRETORIA VISITANTE - P23 - Área Restrita - VENDA PROIBIDA,36,20.0,720.0
14214b_2025,CAMAROTE ESPECIAL P.C.R. - Meia,2,125.0,250.0
14214b_2025,CAMAROTE ESPECIAL P.C.R. - Sócio Gold,1,31.25,31.25
14214b_2025,CAMAROTE INFERIOR DEFENSORES - Carnê de Relacionamento,85,20.0,1700.0
14214b_2025,CAMAROTE PRESIDÊNCIA SANTOS FC - P16 - Área Restrita - VENDA PROIBIDA,1,20.0,20.0
14214b_2025,CAMAROTE SUPERIOR ARTILHEIROS - P16 - Carnê de Relacionamento,53,20.0,1060.0
14214b_2025,CAMAROTE SUPERIOR DOM PEDRO - P23 - Inteira,7,450.0,3150.0
14214b_2025,CAMAROTE SUPERIOR DOM PEDRO - P23 - Meia,4,225.0,900.0
14214b_2025,CAMAROTE SUPERIOR DOM PEDRO - P23 - Sócio Gold,11,112.5,1237.5
14214b_2025,CAMAROTE SUPERIOR DOM PEDRO - P23 - Sócio Silver,4,168.75,675.0
14214b_2025,CAMAROTE SUPERIOR DOM PEDRO - P23 - Sócio Black,16,56.25,900.0
14214b_2025,CAMAROTE SUPERIOR DOM PEDRO - P23 - Cadeira Vitalícia,6,20.0,120.0
14214b_2025,CAMAROTE TRIBUNA DE HONRA - Área Restrita - VENDA PROIBIDA,20,20.0,400.0
14215b_2025,ARQUIBANCADA MIRASSOL - Inteira,13,240.0,3120.0
14215b_2025,ARQUIBANCADA MIRASSOL - Meia,104,120.0,12480.0
14215b_2025,ARQUIBANCADA MIRASSOL - Sócio Contr. Bronze,2560,20.0,51200.0
14215b_2025,ARQUIBANCADA VISITANTE - Inteira,6,240.0,1440.0
14215b_2025,ARQUIBANCADA VISITANTE - Meia,117,120.0,14040.0
14215b_2025,CADEIRA NUMERADA - Sócio Contr. Prata,1319,20.0,26380.0
14215b_2025,CAMAROTE - Sócio Contr. Ouro,235,20.0,4700.0
14216b_2025,"AUTORIDADES E SERVICOS CADEIRA - CONVENIOS, AUTORIDADES E SERVIÇOS - INTEIRA",2417,,0.0
14216b_2025,"AUTORIDADES E SERVICOS CADEIRA - CONVENIOS, AUTORIDADES E SERVIÇOS - INTEIRA",544,,0.0
14216b_2025,CADEIRA ASSENTO AMARELO / LARANJA / ROXO - INTEIRA,79,58.19,4597.01
14216b_2025,CADEIRA ASSENTO AMARELO / LARANJA / ROXO - INTEIRA,143,58.5,8365.5
14216b_2025,CADEIRA ASSENTO AMARELO / LARANJA / ROXO - INTEIRA,3,52.11,156.33
14216b_2025,CADEIRA ASSENTO AMARELO / LARANJA / ROXO - INTEIRA,12,75.5,906.0
14216b_2025,CADEIRA ASSENTO AMARELO / LARANJA / ROXO - INTEIRA,61,51.42,3136.62
14216b_2025,CADEIRA ASSENTO AMARELO / LARANJA / ROXO - INTEIRA,403,130.0,52390.0
14216b_2025,CADEIRA ASSENTO AMARELO / LARANJA / ROXO - MEIA,5999,65.0,389935.0
14216b_2025,CADEIRA ASSENTO AMARELO / LARANJA / ROXO - INTEIRA,1,76.52,76.52
14216b_2025,CADEIRA ASSENTO AMARELO / LARANJA / ROXO - INTEIRA,2385,45.5,108517.5
14216b_2025,CADEIRA ASSENTO AMARELO / LARANJA / ROXO - INTEIRA,69,52.0,3588.0
14216b_2025,CADEIRA ASSENTO AMARELO / LARANJA / ROXO - INTEIRA,3131,39.0,122109.0
14216b_2025,CADEIRA ASSENTO AMARELO / LARANJA / ROXO - INTEIRA,4224,35.0,147840.0
14216b_2025,CADEIRA ASSENTO CAMAROTE BRAHMA - INTEIRA,8,600.0,4800.0
14216b_2025,CADEIRA ASSENTO CAMAROTE BRAHMA - MEIAΑ,23,300.0,6900.0
14216b_2025,CADEIRA ASSENTO CAMAROTE ROXO - INTEIRA,40,450.0,18000.0
14216b_2025,CADEIRA ASSENTO CAMAROTE ROXO - INTEIRA,36,555.0,19980.0
14216b_2025,CADEIRA ASSENTO CAMAROTE VERMELHO - INTEIRA,8,200.0,1600.0
14216b_2025,CADEIRA ASSENTO ROXO INFERIOR - INTEIRA,12,533.33,6399.96
14216b_2025,CADEIRA ASSENTO ROXO INFERIOR - MEIA,157,266.67,41867.19
14216b_2025,CADEIRA ASSENTO ROXO INFERIOR - INTEIRA,31,102.83,3187.73
14216b_2025,CADEIRA ASSENTO ROXO INFERIOR - INTEIRA,89,186.67,16613.63
14216b_2025,CADEIRA ASSENTO ROXO INFERIOR - INTEIRA,2,240.0,480.0
14216b_2025,CADEIRA ASSENTO - ROXO SUPERIOR - INTEIRA,1,213.33,213.33
14216b_2025,CADEIRA ASSENTO - ROXO SUPERIOR - INTEIRA,247,160.0,39520.0
14216b_2025,CADEIRA ASSENTO - ROXO SUPERIOR - INTEIRA,96,140.0,13440.0
14216b_2025,CADEIRA ASSENTO - ROXO SUPERIOR - MEIA,3,400.0,1200.0
14216b_2025,CADEIRA ASSENTO ROXO SUPERIOR - INTEIRA,104,200.0,20800.0
14216b_2025,CADEIRA ASSENTO - ROXO SUPERIOR - INTEIRA,3206,25.0,80150.0
14216b_2025,CADEIRA ASSENTO ROXO SUPERIOR - INTEIRA,2,180.0,360.0
14216b_2025,CADEIRA ASSENTO - VERMELHO INFERIOR - INTEIRA,220,120.0,26400.0
14216b_2025,CADEIRA ASSENTO - VERMELHO INFERIOR - INTEIRA,132,100.5,13266.0
14216b_2025,CADEIRA ASSENTO - VERMELHO INFERIOR - INTEIRA,2,114.86,229.72
14216b_2025,CADEIRA ASSENTO - VERMELHO INFERIOR - INTEIRA,16,78.67,1258.72
14216b_2025,CADEIRA ASSENTO - VERMELHO INFERIOR - INTEIRA,289,143.57,41491.73
14216b_2025,CADEIRA ASSENTO - VERMELHO INFERIOR - INTEIRA,82,79.69,6534.58
14216b_2025,CADEIRA ASSENTO - VERMELHO INFERIOR - INTEIRA,14,287.14,4019.96
14216b_2025,CADEIRA ASSENTO - VERMELHO INFERIOR - INTEIRA,2,104.23,208.46
14216b_2025,CADEIRA ASSENTO - VERMELHO INFERIOR - INTEIRA,706,20.0,14120.0
14216b_2025,CADEIRA ASSENTO - VERMELHO INFERIRO - INTEIRA,75,88.49,6636.75
14216b_2025,CADEIRA ASSENTO - VERMELHO INFERIRO - INTEIRA,11,129.21,1421.31
14216b_2025,CADEIRA ASSENTO - VERMELHO INFERIRO - INTEIRA,292,86.14,25152.88
14216b_2025,CADEIRA ASSENTO - VERMELHO INFERIRO - INTEIRA,20,92.55,1851.0
14216b_2025,CADEIRA ASSENTO - VERMELHO INFERIRO - INTEIRA,1,89.69,89.69
14216b_2025,CADEIRA ASSENTO - VERMELHO INFERIRO - INTEIRA,2,80.77,161.54
14216b_2025,CADEIRA ASSENTO - VERMELHO INFERIRO - INTEIRA,30,88.5,2655.0
14216b_2025,CADEIRA ASSENTO - VERMELHO SUPERIOR - INTEIRA,292,68.83,20098.36
14216b_2025,CADEIRA ASSENTO - VERMELHO SUPERIOR - INTEIRA,64,196.67,12586.88
14216b_2025,CADEIRA ASSENTO - VERMELHO SUPERIOR - INTEIRA,690,98.34,67854.6
14216b_2025,CADEIRA ASSENTO - VISITANTE INTEIRA,410,59.0,24190.0
14216b_2025,CADEIRA ASSENTO - VISITANTE - ΜΕΙΑ,569,130.0,73970.0
14216b_2025,GRATUIDADE - INTEIRA,712,65.0,46280.0
14216b_2025,GRATUIDADE - INTEIRA,248,0.0,0.0
14217b_2025,CAMAROTE - INTEIRA,66,90.0,5940.0
14217b_2025,CAMAROTE SUPERIOR MENOR - INTEIRA,107,178.0,19046.0
14217b_2025,CAMAROTE - MENOR - INTEIRA,8,200.0,1600.0
14217b_2025,CAMAROTE SPOT - INTEIRA,1,232.0,232.0
14217b_2025,CAMAROTE SPOT INTEIRA,39,267.0,10413.0
14217b_2025,CAMAROTE SPOT INTEIRA,2,300.0,600.0
14217b_2025,CAMAROTE - SPOT - INTEIRA,15,356.0,5340.0
14217b_2025,CAMAROTE - SUPERIOR - INTEIRA,7,400.0,2800.0
14217b_2025,CAMAROTE - SUPERIOR - MEIA,19,712.0,13528.0
14217b_2025,CENTRAL CADEIRA - INTEIRA,477,220.0,104940.0
14217b_2025,CENTRAL CADEIRA - ΜΕΙΑ,594,239.0,141966.0
14217b_2025,CENTRAL CADEIRA - CHECK-IN INTEIRA,10565,40.0,422600.0
14217b_2025,CENTRAL CADEIRA - INTEIRA P3 E P7 - INTEIRA,1194,70.0,83580.0
14217b_2025,CENTRAL CADEIRA - ΜΕΙΑ P3 E P7 - ΜΕΙΑ,720,40.0,28800.0
14217b_2025,CENTRAL CADEIRA - NVS LOC - INTEIRA,6,4186.0,25116.0
14217b_2025,CENTRAL CADEIRA SÓCIO - NADA VAI NOS SEPARAR - INTEIRA,141,299.0,42159.0
14217b_2025,INFERIOR CADEIRA - INTEIRA,14,176.0,2464.0
14217b_2025,SETOR CADEIRA - CAMPEÃO DO MUNDO P3/P7 - INTEIRA,2009,40.0,80360.0
14217b_2025,SETOR CADEIRA - CRIANÇA - MEIA,1845,20.0,36900.0
14217b_2025,SETOR CADEIRA - CRIANÇA LOC - MEIΑ,18,149.5,2691.0
14217b_2025,SETOR CADEIRA - INTEIRA P3 E P7 - INTEIRA,37,70.0,2590.0
14217b_2025,SETOR CADEIRA - LOCADAS/CONSELHEIROS - INTEIRA,2442,40.0,97680.0
14217b_2025,SETOR CADEIRA - NÃO SÓCIO PROMOCIONAL - INTEIRA,681,40.0,27240.0
14217b_2025,SETOR CADEIRA - PERPETUAS - INTEIRA,366,40.0,14640.0
14217b_2025,SETOR CADEIRA - SÓCIO - INTEIRA,1,77.0,77.0
14217b_2025,SETOR CADEIRA - SÓCIO - CAMPEÃO DO MUNDO - INTEIRA,3907,66.0,257862.0
14217b_2025,SETOR CADEIRA - SÓCIO ACADEMIA DO POVO (LEI Nº12.933) - ΜΕΙΑ,1248,40.0,49920.0
14217b_2025,SETOR CADEIRA - VISITANTE - INTEIRA,76,220.0,16720.0
14217b_2025,SETOR CADEIRA - VISITANTE - MEΙΑ,68,110.0,7480.0
14217b_2025,SETOR CADEIRA - VISITANTE PROMOCIONAL - INTEIRA,120,40.0,4800.0
14217b_2025,SÓCIO CADEIRA - INTEIRA,53,110.0,5830.0
14217b_2025,SÓCIO CADEIRA - CAMPEÃO DO MUNDO LOC - INTEIRA,29,119.0,3451.0
